CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:51:48,709 | INFO | az_command_data_logger | command args: ls
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:51:49,285 | ERROR | az_command_data_logger | 'ls' is misspelled or not recognized by the system.
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:51:50,256 | INFO | az_command_data_logger | command args: cd ..
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:51:50,840 | ERROR | az_command_data_logger | 'cd' is misspelled or not recognized by the system.
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:51:51,964 | INFO | az_command_data_logger | command args: ls
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:51:52,515 | ERROR | az_command_data_logger | 'ls' is misspelled or not recognized by the system.
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:52:03,869 | INFO | az_command_data_logger | command args: ls
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:52:04,649 | ERROR | az_command_data_logger | 'ls' is misspelled or not recognized by the system.
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:52:06,238 | INFO | az_command_data_logger | command args: cd ..
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:52:06,708 | ERROR | az_command_data_logger | 'cd' is misspelled or not recognized by the system.
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:52:28,489 | INFO | az_command_data_logger | command args: account list
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:52:49,242 | INFO | az_command_data_logger | command args: account list --output
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:52:49,785 | ERROR | az_command_data_logger | argument --output/-o: expected one argument
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:53:10,690 | INFO | az_command_data_logger | command args: account list --output --output {}
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:53:11,219 | ERROR | az_command_data_logger | argument --output/-o: expected one argument
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:53:15,907 | INFO | az_command_data_logger | command args: account list --output {}
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:53:41,875 | INFO | az_command_data_logger | command args: help
CMD-LOG-LINE-BEGIN 168 | 2023-02-18 07:53:48,257 | INFO | az_command_data_logger | exit code: 0
